FBgn0003448	6.09	0.731360534
FBgn0086855	6.645	0.723722518
FBgn0035236	6.86	0.716974318
FBgn0052343	6.20375	0.686577305
FBgn0031379	6.345	0.685639301
FBgn0037371	6.445	0.684756093
FBgn0263380	6.09	0.66359417
FBgn0001123	6.09	0.661984588
FBgn0036460	6.09	0.660362447
FBgn0035158	6.545	0.659493498
FBgn0002183	6.09	0.658627014
FBgn0041160	7.05	0.656662079
FBgn0028690	6.3175	0.644935341
FBgn0016054	7	0.643752995
FBgn0263740	7.29	0.642715225
FBgn0086736	6.39	0.642276382
FBgn0031403	7.29	0.639500668
FBgn0037301	6.39	0.637327993
FBgn0015296	6.09	0.636541504
FBgn0004110	6.09	0.633793565
FBgn0035541	6.6675	0.63188317
FBgn0037329	6.33	0.629247023
FBgn0000166	6.301	0.625410044
FBgn0024352	6.86	0.616827298
FBgn0035877	6.393333333	0.615665688
FBgn0033235	6.09	0.606075113
FBgn0033476	6.86	0.605306686
FBgn0086695	6.825555556	0.602770058
FBgn0013576	6.86	0.601362743
FBgn0010438	7.096666667	0.59837891
FBgn0261530	6.09	0.597606438
FBgn0053526	6.22	0.596622774
FBgn0037293	6.6175	0.595575313
FBgn0261563	7	0.592363065
FBgn0010323	7.145	0.590748017
FBgn0020304	6.593333333	0.589318043
FBgn0002522	6.30625	0.589112529
FBgn0002543	6.641666667	0.587765162
FBgn0027597	6.09	0.586126052
FBgn0260648	7	0.585954053
FBgn0262867	6.3175	0.58286643
FBgn0263755	7.29	0.582849568
FBgn0031375	6.454	0.578334259
FBgn0031376	6.993333333	0.576259398
FBgn0004635	6.326666667	0.569303458
FBgn0015621	6.81	0.563810237
FBgn0027594	7.116	0.559035266
FBgn0035205	6.7175	0.557509595
FBgn0040809	6.43	0.554830239
FBgn0035371	7	0.553052287
FBgn0041147	6.09	0.552361093
FBgn0036206	6.696666667	0.550514752
FBgn0028926	6.393333333	0.550074779
FBgn0037000	6.49	0.548456374
FBgn0022893	6.09	0.548100401
FBgn0037364	6.171111111	0.546207471
FBgn0020766	6.89	0.544789696
FBgn0014857	6.09	0.544664124
FBgn0000565	6.793333333	0.543284569
FBgn0033038	6.833333333	0.54317359
FBgn0035285	6.993333333	0.543005995
FBgn0033483	7.29	0.540826554
FBgn0052476	6.845	0.535940096
FBgn0035235	7.118571429	0.530788655
FBgn0025725	6.793333333	0.524289429
FBgn0037279	6.67875	0.523902782
FBgn0004603	7.05	0.52037845
FBgn0034655	6.57	0.514314535
FBgn0036862	6.09	0.513119508
FBgn0034029	6.09	0.511544212
FBgn0035195	6.58125	0.511510429
FBgn0031344	6.666666667	0.506118019
FBgn0264326	6.696666667	0.505742722
FBgn0250814	6.454	0.502048222
FBgn0011672	6.09	0.498299032
FBgn0035423	6.696666667	0.496743495
FBgn0050431	6.641666667	0.4866698
FBgn0035267	6.345	0.48446073
FBgn0035237	7.29	0.484072382
FBgn0031321	6.992727273	0.482422299
FBgn0000043	6.593333333	0.481422012
FBgn0035229	6.260769231	0.481416749
FBgn0003278	6.441666667	0.478464821
FBgn0032202	7.096666667	0.475244071
FBgn0038683	7.145	0.474560832
FBgn0031245	6.86	0.471722884
FBgn0037391	6.432857143	0.468874445
